"freq","word6","word5","word4","word3","word2","word1"
1e+06,"the","at","stage","the","to","coming"
1e+06,"to","want","drama","club","friday","contest"
1e+06,"for","in","get","to","want","drama"
1e+06,"not","do","twitter","on","me","following"
1e+06,"will","i","me","txt","free","for"
1e+06,"supreme","the","with","capitalism","of","form"
1e+06,"tell","will","i","me","txt","free"
1e+06,"get","to","want","drama","club","friday"
1e+06,"me","txt","free","for","in","get"
1e+06,"amp","span","lt","amp","lt","gt"
1e+06,"of","lot","a","doing","been","have"
1e+06,"to","way","a","find","to","have"
1e+06,"the","with","capitalism","of","form","highest"
1e+06,"i","me","txt","free","for","in"
1e+06,"a","but","act","an","not","is"
1e+06,"time","all","my","of","one","is"
1e+06,"of","matter","a","only","is","it"
1e+06,"illinois","chicago","chicago","of","university","loyola"
1e+06,"gt","amp","span","lt","amp","lt"
1e+06,"place","better","a","world","the","make"
1e+06,"in","ever","be","odds","the","may"
1e+06,"forget","not","do","twitter","on","me"
1e+06,"crazy","is","this","and","you","met"
1e+06,"habit","a","but","act","an","not"
1e+06,"on","me","follow","to","forget","not"
1e+06,"flavor","supreme","the","with","capitalism","of"
1e+06,"in","incorporated","illinois","chicago","chicago","of"
1e+06,"with","capitalism","of","form","highest","open"
1e+06,"amp","lt","gt","amp","word","spellcheck"
1e+06,"comic","famous","world","the","at","stage"
1e+06,"egalitarian","of","spirit","and","flavor","supreme"
1e+06,"by","stopping","for","much","so","thanks"
1e+06,"to","going","not","am","i","that"
1e+06,"places","historic","of","register","national","the"
1e+06,"your","in","ever","be","odds","the"
1e+06,"states","united","the","of","president","the"
1e+06,"university","loyola","law","of","school","the"
1e+06,"famous","world","the","at","stage","the"
1e+06,"of","spirit","and","flavor","supreme","the"
1e+06,"txt","free","for","in","get","to"
1e+06,"of","out","most","the","get","to"
1e+06,"world","the","at","stage","the","to"
1e+06,"want","drama","club","friday","contest","tshirt"
1e+06,"follow","to","forget","not","do","twitter"
1e+06,"you","tell","will","i","me","txt"
1e+06,"capitalism","of","form","highest","open","uninterrupted"
1e+06,"for","just","rewards","real","get","viggle"
1e+06,"free","for","in","get","to","want"
1e+06,"do","repeatedly","we","what","are","we"
1e+06,"drama","club","friday","contest","tshirt","wet"
1e+06,"spirit","and","flavor","supreme","the","with"
1e+06,"just","rewards","real","get","viggle","with"
1e+06,"lt","amp","lt","gt","amp","word"
1e+06,"the","of","resident","old","year","a"
1e+06,"like","think","lady","a","like","act"
1e+06,"style","span","lt","amp","amp","amp"
1e+06,"background","style","span","lt","amp","amp"
1e+06,"it","cause","just","works","it","and"
1e+06,"app","me","pungle","the","with","can"
1e+06,"song","this","tag","to","wfuv","com"
1e+06,"enemies","to","up","attacks","damage","cost"
1e+06,"it","change","something","like","not","do"
1e+06,"prison","in","years","to","up","faces"
1e+06,"to","forward","look","follow","the","for"
1e+06,"accepted","have","i","that","myself","forgive"
1e+06,"who","those","to","come","things","good"
1e+06,"to","work","of","lot","a","have"
1e+06,"to","myself","allowed","and","accepted","have"
1e+06,"in","you","to","talked","not","have"
1e+06,"time","long","a","in","seen","have"
1e+06,"to","forward","looking","so","am","i"
1e+06,"myself","allowed","and","accepted","have","i"
1e+06,"to","forward","looking","really","was","i"
1e+06,"to","able","be","never","will","i"
1e+06,"can","i","if","see","will","i"
1e+06,"to","thing","right","the","was","it"
1e+06,"is","it","cause","just","works","it"
1e+06,"is","this","and","you","met","just"
1e+06,"out","freaking","keep","out","freaking","keep"
1e+06,"chicago","chicago","of","university","loyola","law"
1e+06,"up","attacks","damage","cost","mp","level"
1e+06,"a","like","think","lady","a","like"
1e+06,"year","new","happy","and","christmas","merry"
1e+06,"to","up","attacks","damage","cost","mp"
1e+06,"and","accepted","have","i","that","myself"
1e+06,"chicago","of","university","loyola","law","of"
1e+06,"jersey","new","and","york","new","of"
1e+06,"historic","of","register","national","the","on"
1e+06,"out","it","check","app","me","pungle"
1e+06,"face","my","on","smile","a","puts"
1e+06,"this","tag","to","wfuv","com","radiotagr"
1e+06,"and","salt","with","taste","to","season"
1e+06,"time","the","taking","for","you","thank"
1e+06,"of","bottom","the","from","you","thank"
1e+06,"allowed","and","accepted","have","i","that"
1e+06,"life","my","in","time","first","the"
1e+06,"it","check","app","me","pungle","the"
1e+06,"followers","new","our","of","all","to"
1e+06,"pepper","and","salt","with","taste","to"
1e+06,"to","able","be","to","going","was"
1e+06,"not","or","it","like","you","whether"
1e+06,"check","app","me","pungle","the","with"
1e+06,"to","able","be","to","love","would"
1e+06,"with","reckoned","be","to","force","a"
1e+06,"thousand","a","worth","is","picture","a"
1e+06,"be","ever","only","will","there","and"
1e+06,"night","good","a","all","to","and"
1e+06,"to","want","not","do","you","and"
1e+06,"new","and","york","new","of","authority"
1e+06,"now","area","customer","your","in","available"
1e+06,"me","follow","you","when","onetime","be"
1e+06,"is","it","what","is","it","but"
1e+06,"it","for","followmecody","please","you","can"
1e+06,"there","and","nsn","will","i","cause"
1e+06,"change","cannot","you","if","it","change"
1e+06,"parks","fountain","and","pates","at","classic"
1e+06,"services","senior","and","health","of","department"
1e+06,"tim","obj","blocks","block","log","ela"
1e+06,"the","stun","to","chance","times","enemies"
1e+06,"follow","you","when","onetime","be","ever"
1e+06,"to","going","am","i","like","feel"
1e+06,"be","could","today","and","me","follow"
1e+06,"nsn","will","i","cause","me","follow"
1e+06,"her","make","would","it","for","followmecody"
1e+06,"day","her","make","would","it","for"
1e+06,"the","of","side","other","the","from"
1e+06,"of","death","the","be","to","going"
1e+06,"hallows","deathly","the","and","potter","harry"
1e+06,"me","kidding","be","to","got","have"
1e+06,"of","fan","a","been","never","have"
1e+06,"the","with","can","you","season","holiday"
1e+06,"to","going","was","i","knew","i"
1e+06,"i","time","first","the","remember","i"
1e+06,"will","there","and","nsn","will","i"
1e+06,"the","of","round","second","the","in"
1e+06,"area","customer","your","in","available","is"
1e+06,"the","to","open","and","free","is"
1e+06,"about","all","is","it","what","is"
1e+06,"it","change","cannot","you","if","it"
1e+06,"a","of","bit","a","is","it"
1e+06,"customer","your","in","available","is","it"
1e+06,"long","too","way","been","is","it"
1e+06,"of","matter","a","only","was","it"
1e+06,"about","talking","am","i","what","know"
1e+06,"you","if","it","change","something","like"
1e+06,"much","so","so","so","you","love"
1e+06,"and","man","a","between","is","marriage"
1e+06,"it","be","could","today","and","me"
1e+06,"and","nsn","will","i","cause","me"
1e+06,"of","out","get","to","want","not"
1e+06,"ever","only","will","there","and","nsn"
1e+06,"with","do","to","has","it","of"
1e+06,"trading","is","volume","community","the","of"
1e+06,"of","block","the","of","resident","old"
1e+06,"and","me","follow","you","when","onetime"
1e+06,"you","when","onetime","be","ever","only"
1e+06,"freaking","keep","out","freaking","keep","out"
1e+06,"words","thousand","a","worth","is","picture"
1e+06,"make","would","it","for","followmecody","please"
1e+06,"and","york","new","of","authority","port"
1e+06,"pungle","the","with","can","you","season"
1e+06,"clinton","rodham","hillary","state","of","secretary"
1e+06,"for","thankful","be","to","much","so"
1e+06,"cannot","you","if","it","change","something"
1e+06,"forward","look","follow","the","for","thanks"
1e+06,"out","it","check","will","i","thanks"
1e+06,"the","trading","is","volume","community","the"
1e+06,"who","those","to","belongs","future","the"
1e+06,"of","end","the","at","light","the"
1e+06,"on","and","on","goes","list","the"
1e+06,"over","and","over","thing","same","the"
1e+06,"onetime","be","ever","only","will","there"
1e+06,"day","the","see","would","i","thought"
1e+06,"enemy","the","stun","to","chance","times"
1e+06,"a","all","to","and","all","to"
1e+06,"me","of","death","the","be","to"
1e+06,"stun","to","chance","times","enemies","to"
1e+06,"of","way","the","in","get","to"
1e+06,"to","chance","times","enemies","to","up"
1e+06,"of","part","a","be","to","want"
1e+06,"thing","same","the","thinking","just","was"
1e+06,"time","of","matter","a","only","was"
1e+06,"as","described","be","only","can","what"
1e+06,"done","and","said","is","all","when"
1e+06,"today","and","me","follow","you","when"
1e+06,"are","you","think","you","do","who"
1e+06,"only","will","there","and","nsn","will"
1e+06,"when","onetime","be","ever","only","will"
1e+06,"to","time","good","a","be","would"
1e+06,"me","pungle","the","with","can","you"
1e+06,"could","today","and","me","follow","you"
1e+06,"would","it","for","followmecody","please","you"
1e+06,"neighborhood","the","in","day","beautiful","a"
1e+06,"dtoseattle","bring","date","tour","seattle","a"
1e+06,"my","make","would","from","tweet","a"
1e+06,"half","a","and","year","a","about"
1e+06,"half","a","and","hour","an","about"
1e+06,"time","a","at","one","eggs","add"
1e+06,"bring","date","tour","seattle","a","adding"
1e+06,"of","fan","huge","a","not","am"
1e+06,"again","it","say","will","i","and"
1e+06,"to","going","am","i","now","and"
1e+06,"happy","sing","they","can","sasha","and"
1e+06,"pepper","and","salt","with","season","and"
1e+06,"feel","you","what","say","and","are"
1e+06,"used","i","that","somebody","just","are"
1e+06,"whole","nearest","the","to","rounded","are"
1e+06,"being","time","the","for","least","at"
1e+06,"journey","rainbow","gray","novel","winning","award"
1e+06,"university","the","conference","weekend","program","basic"
1e+06,"say","and","are","you","who","be"
1e+06,"of","explode","to","going","is","belieber"
1e+06,"rainbow","gray","novel","winning","award","book"
1e+06,"imagination","the","of","stretch","any","by"
1e+06,"total","of","percent","from","calories","calories"
1e+06,"calories","total","of","percent","from","calories"
1e+06,"monday","on","that","you","guarantee","can"
1e+06,"to","birthday","happy","sing","they","can"
1e+06,"home","foot","square","a","for","cash"
1e+06,"of","lot","a","have","not","did"
1e+06,"tell","not","do","ask","not","do"
1e+06,"when","it","hate","you","not","do"
1e+06,"all","of","day","best","the","do"
1e+06,"not","do","i","mean","not","does"
1e+06,"with","do","to","have","this","does"
1e+06,"cannot","you","say","people","what","doing"
1e+06,"to","going","is","belieber","single","every"
1e+06,"of","part","a","be","to","excited"
1e+06,"prison","in","years","to","up","face"
1e+06,"the","do","would","i","me","follow"
1e+06,"world","the","loved","so","god","for"
1e+06,"lee","carl","free","lee","carl","free"
1e+06,"miobi","night","my","make","would","from"
1e+06,"make","would","from","tweet","a","getting"
1e+06,"hours","overjoyness","of","explode","to","going"
1e+06,"span","lt","amp","amp","amp","gt"
1e+06,"every","monday","on","that","you","guarantee"
1e+06,"night","last","time","great","a","had"
1e+06,"go","to","way","long","a","has"
1e+06,"vpn","ready","server","new","a","have"
1e+06,"life","my","all","been","you","have"
1e+06,"call","so","number","my","is","here"
1e+06,"to","forward","looking","actually","am","i"
1e+06,"of","middle","the","in","am","i"
1e+06,"you","with","there","right","am","i"
1e+06,"on","that","you","guarantee","can","i"
1e+06,"of","lot","a","seen","have","i"
1e+06,"you","miss","and","you","love","i"
1e+06,"to","going","is","he","think","i"
1e+06,"to","safe","is","it","think","i"
1e+06,"to","going","was","it","thought","i"
1e+06,"day","best","the","do","would","i"
1e+06,"to","able","be","never","would","i"
1e+06,"for","been","not","had","it","if"
1e+06,"to","had","i","end","the","in"
1e+06,"mind","of","frame","right","the","in"
1e+06,"rounded","are","values","serving","per","information"
1e+06,"right","the","in","step","a","is"
1e+06,"overjoyness","of","explode","to","going","is"
1e+06,"the","of","eye","the","in","is"
1e+06,"me","call","so","number","my","is"
1e+06,"start","great","a","to","off","is"
1e+06,"ask","to","much","too","that","is"
1e+06,"to","easy","always","not","is","it"
1e+06,"sing","they","can","sasha","and","kimberly"
1e+06,"at","reported","was","larceny","a","larceny"
1e+06,"to","going","is","it","like","looks"
1e+06,"song","love","a","like","you","love"
1e+06,"me","taught","miobi","night","my","make"
1e+06,"to","able","be","will","i","maybe"
1e+06,"best","the","do","would","i","me"
1e+06,"dreams","my","for","shoot","to","me"
1e+06,"of","pace","a","with","run","mi"
1e+06,"with","do","to","something","have","might"
1e+06,"for","shoot","to","me","taught","miobi"
1e+06,"going","is","belieber","single","every","monday"
1e+06,"time","little","so","do","to","much"
1e+06,"to","me","taught","miobi","night","my"
1e+06,"with","are","prayers","and","thoughts","my"
1e+06,"money","prize","place","win","rd","nd"
1e+06,"from","calories","calories","number","whole","nearest"
1e+06,"shoot","to","me","taught","miobi","night"
1e+06,"in","award","shorty","a","for","nominate"
1e+06,"it","about","think","i","that","now"
1e+06,"of","percent","from","calories","calories","number"
1e+06,"are","values","serving","per","information","nutrition"
1e+06,"laden","bin","obama","laden","bin","obama"
1e+06,"is","belieber","single","every","monday","on"
1e+06,"exchange","mercantile","york","new","the","on"
1e+06,"foot","square","a","for","cash","paid"
1e+06,"to","rounded","are","values","serving","per"
1e+06,"know","her","let","and","follow","please"
1e+06,"tour","seattle","a","adding","try","please"
1e+06,"cause","just","works","it","and","products"
1e+06,"of","university","the","conference","weekend","program"
1e+06,"of","part","a","be","to","proud"
1e+06,"time","right","the","at","place","right"
1e+06,"number","whole","nearest","the","to","rounded"
1e+06,"win","to","chance","a","for","rt"
1e+06,"mi","of","pace","a","with","run"
1e+06,"birthday","happy","sing","they","can","sasha"
1e+06,"the","to","rounded","are","values","serving"
1e+06,"guys","ily","dreams","my","for","shoot"
1e+06,"can","sasha","and","kimberly","to","shoutout"
1e+06,"please","her","to","birthday","happy","sing"
1e+06,"explode","to","going","is","belieber","single"
1e+06,"little","so","do","to","much","so"
1e+06,"amp","amp","amp","gt","amp","span"
1e+06,"out","it","figure","to","trying","still"
1e+06,"my","for","shoot","to","me","taught"
1e+06,"guide","wine","better","following","for","thanks"
1e+06,"to","forward","looking","following","for","thanks"
1e+06,"twitter","on","us","following","for","thanks"
1e+06,"your","in","us","including","for","thanks"
1e+06,"belieber","single","every","monday","on","that"
1e+06,"world","the","in","feeling","best","the"
1e+06,"administration","safety","traffic","highway","national","the"
1e+06,"calories","calories","number","whole","nearest","the"
1e+06,"camp","basketball","delaware","of","university","the"
1e+06,"between","line","fine","a","is","there"
1e+06,"her","to","birthday","happy","sing","they"
1e+06,"not","do","i","why","is","this"
1e+06,"expecting","are","you","when","expect","to"
1e+06,"of","bottom","the","to","get","to"
1e+06,"better","you","know","to","getting","to"
1e+06,"they","can","sasha","and","kimberly","to"
1e+06,"ily","dreams","my","for","shoot","to"
1e+06,"calories","number","whole","nearest","the","to"
1e+06,"date","tour","seattle","a","adding","try"
1e+06,"night","my","make","would","from","tweet"
1e+06,"nearest","the","to","rounded","are","values"
1e+06,"of","middle","the","in","are","we"
1e+06,"to","way","long","a","have","we"
1e+06,"ready","server","new","a","have","we"
1e+06,"chicago","of","university","the","conference","weekend"
1e+06,"do","cannot","you","say","people","what"
1e+06,"are","you","when","expect","to","what"
1e+06,"grade","th","in","was","i","when"
1e+06,"my","all","been","you","have","where"
1e+06,"what","say","and","are","you","who"
1e+06,"percent","from","calories","calories","number","whole"
1e+06,"of","think","i","not","did","why"
1e+06,"world","the","in","see","to","wish"
1e+06,"commission","exchange","and","securities","the","with"
1e+06,"the","in","pick","th","the","with"
1e+06,"of","day","best","the","do","would"
1e+06,"taught","miobi","night","my","make","would"
1e+06,"you","what","say","and","are","you"
1e+06,"i","that","somebody","just","are","you"
1e+06,"single","every","monday","on","that","you"
1e+06,"the","in","see","to","wish","you"
1e+06,"of","lives","the","in","difference","a"
1e+06,"of","block","the","in","home","a"
1e+06,"of","end","the","at","light","a"
1e+06,"in","be","to","crime","state","a"
1e+06,"a","with","begins","miles","thousand","a"
1e+06,"about","is","life","yourself","finding","about"
1e+06,"was","of","think","could","i","all"
1e+06,"here","shown","deal","the","get","and"
1e+06,"spain","and","spain","and","spain","and"
1e+06,"of","end","the","was","that","and"
1e+06,"free","is","drink","first","your","and"
1e+06,"on","creation","poised","following","you","appreciate"
1e+06,"club","athletic","mall","square","penn","aspen"
1e+06,"accepted","cards","credit","and","reservations","bar"
1e+06,"for","wish","you","what","careful","be"
1e+06,"out","it","check","to","sure","be"
1e+06,"out","them","check","to","sure","be"
1e+06,"roosevelt","eleanor","dreams","their","of","beauty"
1e+06,"the","of","end","the","at","because"
1e+06,"their","of","beauty","the","in","believe"
1e+06,"in","believe","who","those","to","belongs"
1e+06,"a","have","you","hope","i","birthday"
1e+06,"nam","wait","tim","obj","blocks","block"
1e+06,"log","nam","wait","tim","obj","blocks"
1e+06,"get","just","all","we","not","ca"
1e+06,"in","years","to","up","face","could"
1e+06,"started","me","get","even","not","do"
1e+06,"are","you","who","know","not","do"
1e+06,"and","over","thing","same","the","doing"
1e+06,"the","all","to","day","is","father"
1e+06,"for","looking","are","you","what","find"
1e+06,"creating","about","is","life","yourself","finding"
1e+06,"me","follow","me","follow","me","follow"
1e+06,"fan","biggest","you","is","she","follow"
1e+06,"you","on","shame","once","me","fool"
1e+06,"twitter","on","hilltop","the","following","for"
1e+06,"know","me","let","follow","the","for"
1e+06,"cards","credit","and","reservations","bar","full"
1e+06,"market","android","the","in","comment","game"
1e+06,"the","of","end","the","to","get"
1e+06,"to","way","their","of","out","go"
1e+06,"offer","time","limited","journey","rainbow","gray"
1e+06,"to","have","just","will","i","guess"
1e+06,"the","on","time","great","a","had"
1e+06,"have","you","hope","i","birthday","happy"
1e+06,"all","to","day","is","father","happy"
1e+06,"the","all","to","day","fathers","happy"
1e+06,"it","to","ring","nice","a","has"
1e+06,"to","forward","look","to","something","have"
1e+06,"in","years","to","up","faces","he"
1e+06,"with","love","in","heels","over","head"
1e+06,"head","the","on","nail","the","hit"
1e+06,"a","having","are","all","you","hope"
1e+06,"of","midst","the","in","am","i"
1e+06,"that","opinion","the","of","am","i"
1e+06,"on","hands","my","get","could","i"
1e+06,"to","myself","bring","not","could","i"
1e+06,"time","the","all","that","do","i"
1e+06,"for","spot","soft","a","have","i"
1e+06,"to","able","be","not","may","i"
1e+06,"award","shorty","a","for","nominate","i"
1e+06,"out","figure","to","trying","was","i"
1e+06,"me","like","anything","are","you","if"
1e+06,"court","pleas","common","county","cuyahoga","in"
1e+06,"people","what","doing","is","life","in"
1e+06,"is","world","the","of","one","in"
1e+06,"dreams","their","of","beauty","the","in"
1e+06,"future","distant","too","not","the","in"
1e+06,"to","go","register","to","or","information"
1e+06,"you","say","people","what","doing","is"
1e+06,"a","leave","and","path","no","is"
1e+06,"that","me","of","part","the","is"
1e+06,"be","to","crime","state","a","it"
1e+06,"with","do","to","nothing","had","it"
1e+06,"time","a","at","step","one","it"
1e+06,"get","i","can","birthday","my","its"
1e+06,"johnson","kyle","and","wilson","dan","joe"
1e+06,"begins","miles","thousand","a","of","journey"
1e+06,"bin","obama","laden","bin","obama","laden"
1e+06,"to","up","attacks","cost","mp","level"
1e+06,"say","people","what","doing","is","life"
1e+06,"sick","be","will","i","song","love"
1e+06,"you","love","we","kylie","you","love"
1e+06,"gave","he","that","world","the","loved"
1e+06,"fool","you","on","shame","once","me"
1e+06,"day","the","of","meal","important","most"
1e+06,"enemies","to","up","attacks","cost","mp"
1e+06,"a","get","i","can","birthday","my"
1e+06,"on","going","is","what","idea","no"
1e+06,"trail","a","leave","and","path","no"
1e+06,"day","the","in","time","enough","not"
1e+06,"on","started","me","get","even","not"
1e+06,"heart","of","faint","the","for","not"
1e+06,"insanity","of","reason","by","guilty","not"
1e+06,"about","feel","i","how","know","not"
1e+06,"i","time","last","the","remember","not"
1e+06,"on","going","is","what","sure","not"
1e+06,"time","limited","journey","rainbow","gray","novel"
1e+06,"that","somebody","just","are","you","now"
1e+06,"thunderstorm","severe","a","issued","has","nws"
1e+06,"file","log","nam","wait","tim","obj"
1e+06,"with","begins","miles","thousand","a","of"
1e+06,"me","fool","you","on","shame","once"
1e+06,"only","thing","one","and","thing","one"
1e+06,"biggest","you","is","she","follow","please"
1e+06,"what","doing","is","life","in","pleasure"
1e+06,"care","health","is","obama","barack","president"
1e+06,"contact","offer","time","limited","journey","rainbow"
1e+06,"under","always","is","success","to","road"
1e+06,"those","because","feel","you","what","say"
1e+06,"with","up","come","you","what","see"
1e+06,"twice","me","fool","you","on","shame"
1e+06,"he","that","world","the","loved","so"
1e+06,"do","to","has","it","of","some"
1e+06,"time","of","deal","great","a","spend"
1e+06,"il","chicago","in","now","trending","spot"
1e+06,"the","in","be","to","crime","state"
1e+06,"holiday","this","conservancy","nature","the","support"
1e+06,"think","you","what","world","the","tell"
1e+06,"a","have","following","for","you","thank"
1e+06,"joan","you","thank","joan","you","thank"
1e+06,"on","hilltop","the","following","for","thanks"
1e+06,"out","check","follow","the","for","thanks"
1e+06,"with","wrong","anything","is","there","that"
1e+06,"to","able","be","will","we","that"
1e+06,"eleanor","dreams","their","of","beauty","the"
1e+06,"life","my","of","day","best","the"
1e+06,"statement","a","in","said","company","the"
1e+06,"states","united","the","of","constitution","the"
1e+06,"of","series","a","in","first","the"
1e+06,"the","and","bad","the","good","the"
