"freq","word5","word4","word3","word2","word1"
1e+06,"to","access","have","not","do"
1e+06,"of","lack","a","to","due"
1e+06,"time","a","at","one","eggs"
1e+06,"of","face","the","in","even"
1e+06,"life","my","in","time","first"
1e+06,"worse","for","or","better","for"
1e+06,"to","forward","looking","following","for"
1e+06,"time","of","periods","long","for"
1e+06,"forward","look","follow","the","for"
1e+06,"gingrich","newt","speaker","house","former"
1e+06,"out","freaking","keep","out","freaking"
1e+06,"of","bottom","the","to","get"
1e+06,"to","able","been","not","has"
1e+06,"myself","allowed","and","accepted","have"
1e+06,"with","up","put","to","have"
1e+06,"to","forward","looking","is","he"
1e+06,"to","going","you","are","how"
1e+06,"of","rid","get","to","how"
1e+06,"to","enough","lucky","am","i"
1e+06,"to","allowed","not","am","i"
1e+06,"forward","looking","so","am","i"
1e+06,"on","count","always","can","i"
1e+06,"to","around","got","finally","i"
1e+06,"to","seem","cannot","just","i"
1e+06,"feel","you","how","know","i"
1e+06,"out","figure","to","need","i"
1e+06,"to","enough","fortunate","was","i"
1e+06,"on","planning","not","was","i"
1e+06,"forward","looking","really","was","i"
1e+06,"of","care","take","will","i"
1e+06,"sense","any","makes","that","if"
1e+06,"of","age","the","at","in"
1e+06,"between","line","fine","a","is"
1e+06,"place","the","over","all","is"
1e+06,"and","man","a","between","is"
1e+06,"of","front","in","right","is"
1e+06,"be","to","up","shaping","is"
1e+06,"be","to","out","turning","is"
1e+06,"it","cause","just","works","it"
1e+06,"lot","a","mean","would","it"
1e+06,"freaking","keep","out","freaking","keep"
1e+06,"to","going","was","i","knew"
1e+06,"chicago","of","university","loyola","law"
1e+06,"like","think","lady","a","like"
1e+06,"to","able","be","to","love"
1e+06,"will","i","day","one","maybe"
1e+06,"out","it","check","app","me"
1e+06,"up","attacks","damage","cost","mp"
1e+06,"me","call","so","number","my"
1e+06,"accepted","have","i","that","myself"
1e+06,"christie","chris","gov","jersey","new"
1e+06,"mind","my","in","doubt","no"
1e+06,"it","change","something","like","not"
1e+06,"in","you","to","talked","not"
1e+06,"way","the","by","and","oh"
1e+06,"stars","the","with","dancing","on"
1e+06,"of","copy","a","up","picked"
1e+06,"i","cause","me","follow","please"
1e+06,"of","university","the","at","professor"
1e+06,"it","check","app","me","pungle"
1e+06,"tag","to","wfuv","com","radiotagr"
1e+06,"accepted","cards","credit","and","reservations"
1e+06,"conference","news","a","at","said"
1e+06,"over","and","over","thing","same"
1e+06,"to","going","is","it","so"
1e+06,"anonymity","of","condition","on","spoke"
1e+06,"out","them","check","to","sure"
1e+06,"it","for","word","my","take"
1e+06,"pepper","and","salt","with","taste"
1e+06,"with","do","to","has","that"
1e+06,"do","to","nothing","have","that"
1e+06,"of","end","the","was","that"
1e+06,"to","forward","look","follow","the"
1e+06,"packages","vacation","italy","montreal","the"
1e+06,"know","you","thing","next","the"
1e+06,"than","worse","thing","only","the"
1e+06,"with","work","i","people","the"
1e+06,"year","last","period","same","the"
1e+06,"italy","venice","hotel","santelena","the"
1e+06,"who","those","to","come","things"
1e+06,"can","you","season","holiday","this"
1e+06,"measure","good","for","in","thrown"
1e+06,"time","little","so","do","to"
1e+06,"with","contact","in","get","to"
1e+06,"and","salt","with","taste","to"
1e+06,"dawn","of","the","at","up"
1e+06,"in","years","to","sentenced","was"
1e+06,"song","this","tag","to","wfuv"
1e+06,"with","wrong","is","the","what"
1e+06,"place","best","the","is","where"
1e+06,"many","so","there","are","why"
1e+06,"way","long","a","go","will"
1e+06,"app","me","pungle","the","with"
1e+06,"is","it","cause","just","works"
1e+06,"to","able","be","never","would"
1e+06,"to","me","like","you","would"
1e+06,"much","so","so","so","you"
1e+06,"much","so","you","thank","you"
1e+06,"luck","of","best","the","you"
1e+06,"woods","the","of","neck","your"
1e+06,"time","a","at","little","a"
1e+06,"work","hard","of","lot","a"
1e+06,"it","to","ring","nice","a"
1e+06,"a","worth","is","picture","a"
1e+06,"pay","to","price","small","a"
1e+06,"item","in","and","pp","above"
1e+06,"a","all","to","and","all"
1e+06,"of","middle","the","in","am"
1e+06,"amp","amp","amp","gt","amp"
1e+06,"not","could","just","i","and"
1e+06,"ever","only","will","there","and"
1e+06,"it","be","could","today","and"
1e+06,"it","have","would","luck","as"
1e+06,"another","or","time","one","at"
1e+06,"and","york","new","of","authority"
1e+06,"area","customer","your","in","available"
1e+06,"for","on","feet","square","ave"
1e+06,"board","drawing","the","to","back"
1e+06,"follow","you","when","onetime","be"
1e+06,"world","the","in","feeling","best"
1e+06,"to","seem","cannot","i","but"
1e+06,"to","have","will","you","but"
1e+06,"to","how","out","figure","can"
1e+06,"way","long","a","go","can"
1e+06,"for","followmecody","please","you","can"
1e+06,"and","nsn","will","i","cause"
1e+06,"fountain","and","pates","at","classic"
1e+06,"the","trading","is","volume","community"
1e+06,"to","need","you","what","do"
1e+06,"obj","blocks","block","log","ela"
1e+06,"stun","to","chance","times","enemies"
1e+06,"language","second","a","as","english"
1e+06,"you","when","onetime","be","ever"
1e+06,"could","today","and","me","follow"
1e+06,"make","would","it","for","followmecody"
1e+06,"twitter","on","us","following","for"
1e+06,"her","make","would","it","for"
1e+06,"a","have","ff","the","for"
1e+06,"with","reckoned","be","to","force"
1e+06,"point","to","a","point","from"
1e+06,"who","those","to","belongs","future"
1e+06,"world","the","loved","so","god"
1e+06,"night","last","blast","a","had"
1e+06,"to","opportunity","the","had","have"
1e+06,"to","willing","be","to","have"
1e+06,"of","author","the","is","he"
1e+06,"to","going","not","was","he"
1e+06,"to","going","i","am","how"
1e+06,"to","how","learning","am","i"
1e+06,"of","out","running","am","i"
1e+06,"fan","biggest","your","am","i"
1e+06,"for","go","really","could","i"
1e+06,"to","try","not","do","i"
1e+06,"hate","love","a","have","i"
1e+06,"things","good","heard","have","i"
1e+06,"there","and","nsn","will","i"
1e+06,"you","with","share","would","i"
1e+06,"time","long","very","a","in"
1e+06,"hour","an","than","less","in"
1e+06,"least","the","say","to","interesting"
1e+06,"true","come","dream","a","is"
1e+06,"of","part","important","an","is"
1e+06,"customer","your","in","available","is"
1e+06,"long","too","way","been","is"
1e+06,"to","open","and","free","is"
1e+06,"words","thousand","a","worth","is"
1e+06,"th","the","friday","is","it"
1e+06,"time","long","a","took","it"
1e+06,"thing","same","the","thinking","just"
1e+06,"you","tell","to","wanted","just"
1e+06,"to","going","was","it","knew"
1e+06,"on","and","on","goes","list"
1e+06,"of","way","the","in","little"
1e+06,"tim","obj","blocks","block","log"
1e+06,"of","out","best","the","make"
1e+06,"man","a","between","is","marriage"
1e+06,"not","do","i","and","me"
1e+06,"be","could","today","and","me"
1e+06,"nsn","will","i","cause","me"
1e+06,"to","out","goes","heart","my"
1e+06,"woods","the","of","neck","my"
1e+06,"administration","safety","traffic","highway","national"
1e+06,"to","need","the","feel","not"
1e+06,"with","deal","to","have","not"
1e+06,"not","do","i","that","not"
1e+06,"only","will","there","and","nsn"
1e+06,"update","auto","cross","red","ny"
1e+06,"services","senior","and","health","of"
1e+06,"christ","jesus","lord","our","of"
1e+06,"clinton","rodham","hillary","state","of"
1e+06,"is","volume","community","the","of"
1e+06,"of","academy","national","the","of"
1e+06,"day","to","day","a","on"
1e+06,"of","anniversary","th","the","on"
1e+06,"woman","one","and","man","one"
1e+06,"me","follow","you","when","onetime"
1e+06,"when","onetime","be","ever","only"
1e+06,"thousand","a","worth","is","picture"
1e+06,"would","it","for","followmecody","please"
1e+06,"york","new","of","authority","port"
1e+06,"hallows","deathly","the","and","potter"
1e+06,"of","block","the","of","resident"
1e+06,"to","going","is","it","said"
1e+06,"the","with","can","you","season"
1e+06,"to","able","be","to","seem"
1e+06,"to","able","was","i","so"
1e+06,"loss","your","for","sorry","so"
1e+06,"you","if","it","change","something"
1e+06,"to","going","is","that","something"
1e+06,"to","have","just","you","sometimes"
1e+06,"anonymity","of","condition","on","speaking"
1e+06,"out","us","checking","for","thanks"
1e+06,"italy","in","jobs","accounting","the"
1e+06,"union","liberties","civil","american","the"
1e+06,"life","in","things","best","the"
1e+06,"woods","the","in","cabin","the"
1e+06,"italy","venice","hotel","caprera","the"
1e+06,"trading","is","volume","community","the"
1e+06,"by","sold","was","home","the"
1e+06,"and","over","thing","same","the"
1e+06,"to","ways","many","are","there"
1e+06,"of","types","two","are","there"
1e+06,"be","to","got","is","there"
1e+06,"of","plenty","still","is","there"
1e+06,"of","sign","no","was","there"
1e+06,"be","ever","only","will","there"
1e+06,"mind","in","keep","to","thing"
1e+06,"to","going","am","i","thinking"
1e+06,"with","do","to","have","this"
1e+06,"of","story","the","is","this"
1e+06,"to","going","was","it","thought"
1e+06,"the","stun","to","chance","times"
1e+06,"night","good","a","all","to"
1e+06,"all","to","and","all","to"
1e+06,"of","death","the","be","to"
1e+06,"to","chance","times","enemies","to"
1e+06,"of","hang","the","get","to"
1e+06,"to","end","an","put","to"
1e+06,"of","lot","a","spend","to"
1e+06,"to","how","me","teach","to"
1e+06,"on","going","is","what","to"
1e+06,"will","someday","my","is","today"
1e+06,"of","rid","get","to","trying"
1e+06,"to","forward","looking","much","very"
1e+06,"of","matter","a","only","was"
1e+06,"for","thankful","you","are","what"
1e+06,"to","trying","you","are","what"
1e+06,"to","about","am","i","what"
1e+06,"to","up","everyone","is","what"
1e+06,"to","go","your","is","what"
1e+06,"on","going","is","the","what"
1e+06,"about","talking","are","they","what"
1e+06,"to","up","are","you","what"
1e+06,"and","said","is","all","when"
1e+06,"not","may","or","may","which"
1e+06,"to","opportunity","the","have","will"
1e+06,"will","there","and","nsn","will"
1e+06,"onetime","be","ever","only","will"
1e+06,"from","help","little","a","with"
1e+06,"position","scoring","in","runners","with"
1e+06,"to","going","am","i","year"
1e+06,"a","have","welcome","are","you"
1e+06,"on","count","always","can","you"
1e+06,"pungle","the","with","can","you"
1e+06,"it","for","followmecody","please","you"
1e+06,"half","a","and","day","a"
1e+06,"coffee","of","cup","good","a"
1e+06,"at","reported","was","larceny","a"
1e+06,"own","its","of","mind","a"
1e+06,"vpn","ready","server","new","a"
1e+06,"bring","date","tour","seattle","a"
1e+06,"make","would","from","tweet","a"
1e+06,"of","worth","is","year","a"
1e+06,"on","going","is","what","about"
1e+06,"with","do","to","nothing","absolutely"
1e+06,"release","news","a","to","according"
1e+06,"words","than","louder","speak","actions"
1e+06,"a","at","one","eggs","add"
1e+06,"date","tour","seattle","a","adding"
1e+06,"the","in","shot","being","after"
1e+06,"there","out","mothers","the","all"
1e+06,"the","of","member","a","also"
1e+06,"for","lookout","the","on","always"
1e+06,"to","forward","looking","actually","am"
1e+06,"you","with","there","right","am"
1e+06,"eat","can","you","all","an"
1e+06,"of","me","reminded","it","and"
1e+06,"of","lots","and","lots","and"
1e+06,"to","ready","until","refrigerate","and"
1e+06,"sing","they","can","sasha","and"
1e+06,"many","so","are","there","and"
1e+06,"to","have","just","you","and"
1e+06,"imagination","the","of","stretch","any"
1e+06,"you","what","say","and","are"
1e+06,"order","particular","no","in","are"
1e+06,"i","that","somebody","just","are"
1e+06,"nearest","the","to","rounded","are"
1e+06,"to","trying","was","i","as"
1e+06,"of","hand","right","the","at"
1e+06,"rainbow","gray","novel","winning","award"
1e+06,"of","couple","a","in","back"
1e+06,"of","swing","the","in","back"
1e+06,"the","conference","weekend","program","basic"
1e+06,"said","i","if","lying","be"
1e+06,"a","such","is","it","because"
1e+06,"head","my","in","stuck","been"
1e+06,"explode","to","going","is","belieber"
1e+06,"laden","bin","obama","laden","bin"
1e+06,"a","get","i","can","birthday"
1e+06,"to","able","be","to","blessed"
1e+06,"gray","novel","winning","award","book"
1e+06,"to","want","not","did","but"
1e+06,"to","want","just","i","but"
1e+06,"the","of","stretch","any","by"
1e+06,"of","percent","from","calories","calories"
1e+06,"total","of","percent","from","calories"
1e+06,"states","united","the","to","came"
1e+06,"on","that","you","guarantee","can"
1e+06,"birthday","happy","sing","they","can"
1e+06,"for","wish","you","what","careful"
1e+06,"lee","carl","free","lee","carl"
1e+06,"foot","square","a","for","cash"
1e+06,"yards","for","passes","of","completed"
1e+06,"chicago","of","university","the","conference"
